SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
-0.018,0.000,-0.017
-0.035,0.011,-0.018
-0.031,0.000,0.013
-0.004,-0.017,0.031
0.008,-0.011,0.011
0.015,0.018,-0.018
0.018,0.023,-0.019
0.015,0.011,0.004
0.010,0.000,0.024
0.000,-0.015,0.017
-0.020,-0.019,-0.004
-0.027,-0.013,-0.017
-0.010,-0.008,-0.011
0.004,0.005,0.004
0.014,0.007,-0.003
0.029,0.004,-0.021
0.018,0.030,-0.015
-0.010,0.030,0.001
-0.023,0.002,0.007
-0.030,-0.013,0.018
-0.025,-0.027,0.020
0.001,-0.013,0.003
0.023,0.013,-0.007
0.045,0.015,-0.005
0.053,0.017,0.000
0.027,0.015,-0.003
-0.013,0.004,-0.017
-0.041,-0.005,-0.020
-0.024,-0.010,-0.003
0.001,-0.014,0.007
-0.009,-0.006,-0.002
-0.014,0.013,0.000
-0.007,0.010,0.009
0.013,-0.011,0.010
0.039,-0.029,0.011
0.018,-0.014,0.000
-0.010,0.014,-0.002
-0.004,0.005,0.016
0.005,-0.004,0.011
-0.004,0.004,-0.021
-0.019,0.005,-0.038
-0.016,0.009,-0.022
-0.010,0.007,0.011
-0.013,0.015,0.024
-0.011,0.015,0.013
0.000,-0.009,-0.002
0.020,-0.016,-0.011
0.020,-0.004,-0.007
0.005,0.006,-0.002
0.009,-0.004,-0.005
-0.005,-0.037,0.005
-0.027,-0.043,0.003
-0.025,-0.002,0.000
-0.006,0.034,0.014
0.007,0.033,0.010
0.006,0.006,0.007
0.001,-0.023,0.007
-0.004,-0.026,0.000
0.004,-0.007,-0.003
0.019,0.005,0.000
0.025,0.018,0.006
-0.004,0.034,-0.002
-0.048,0.034,-0.019
-0.018,0.009,-0.021
0.035,-0.020,-0.001
0.024,-0.004,0.001
-0.003,0.000,-0.005
0.000,-0.029,0.019
0.008,-0.020,0.018
-0.004,0.006,-0.010
-0.037,0.011,-0.011
-0.045,-0.001,0.003
0.002,-0.016,0.021
0.033,-0.001,0.023
0.030,0.013,-0.003
0.019,0.016,-0.029
-0.017,0.018,-0.031
-0.048,0.013,-0.015
-0.033,0.004,0.012
-0.017,-0.010,0.023
-0.017,-0.011,0.023
-0.006,-0.002,0.020
0.017,0.005,-0.005
0.055,0.013,-0.021
0.082,0.000,-0.022
0.071,-0.016,-0.018
0.021,-0.008,-0.002
-0.039,0.001,0.004
-0.056,0.005,0.006
-0.039,0.004,0.010
-0.019,-0.007,-0.003
-0.007,-0.015,-0.011
-0.001,-0.011,0.012
0.005,0.004,0.014
0.022,0.016,0.001
0.029,0.006,0.012
0.021,-0.028,0.014
0.027,-0.044,0.009
0.004,0.000,-0.013
-0.019,0.032,-0.032
0.017,0.015,-0.008
0.004,0.019,0.014
-0.089,0.043,0.007
-0.087,0.030,0.002
-0.002,-0.023,0.029
0.015,-0.033,0.024
0.021,0.025,-0.034
0.039,0.029,-0.037
0.030,-0.005,-0.009
0.030,0.014,-0.009
0.024,0.034,-0.016
