SITE CODE= 9CFâFèÈésèºã¥í¨              ,32.7417,130.8087, 11,6.5,42474.8934491,  3.40,  5.77
 LAT.=   32.6476
 LON.=  130.6842
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 21 26 20
 NS,EW,UD
0.000,0.001,-0.002
0.000,0.001,-0.000
0.000,-0.000,-0.000
0.000,-0.003,-0.001
0.000,-0.004,-0.002
-0.002,-0.004,-0.001
-0.002,-0.001,0.001
-0.001,0.000,0.003
0.000,0.000,0.004
0.002,0.000,0.001
0.002,0.000,-0.002
0.000,0.000,-0.004
0.000,0.000,-0.005
0.000,0.001,-0.004
0.000,0.002,-0.002
0.002,0.002,-0.000
0.002,0.001,0.001
0.000,-0.000,0.001
-0.000,-0.001,0.001
-0.001,-0.001,0.001
-0.001,0.000,0.000
0.000,0.001,-0.002
0.000,0.001,-0.004
0.000,0.000,-0.004
0.000,-0.000,-0.002
-0.002,0.000,0.000
-0.003,0.001,0.001
-0.004,0.002,-0.000
-0.003,0.002,-0.002
-0.002,0.001,-0.003
-0.000,-0.000,-0.003
0.000,-0.001,-0.000
-0.000,-0.002,0.001
-0.002,-0.001,0.002
-0.001,0.000,0.001
0.000,0.001,-0.002
0.002,0.000,-0.005
0.002,-0.001,-0.005
0.001,-0.002,-0.002
0.000,-0.002,0.002
0.000,-0.001,0.004
0.000,0.000,0.001
0.001,0.001,-0.002
0.002,0.001,-0.004
0.002,-0.000,-0.002
0.000,-0.002,-0.000
-0.000,-0.003,0.001
-0.002,-0.002,-0.000
-0.003,0.001,-0.003
-0.001,0.002,-0.004
0.000,0.002,-0.004
0.002,0.001,-0.002
0.000,-0.000,-0.000
-0.002,-0.000,-0.000
-0.003,0.000,-0.002
-0.001,0.001,-0.002
0.002,0.001,0.000
0.004,0.001,0.003
0.003,0.001,0.005
0.000,0.001,0.004
-0.002,-0.001,0.001
-0.003,-0.003,-0.002
-0.002,-0.002,-0.004
0.000,0.001,-0.004
0.002,0.003,-0.004
0.002,0.002,-0.003
0.000,-0.000,0.000
-0.001,-0.004,0.003
-0.002,-0.003,0.004
-0.002,-0.000,0.002
0.000,0.003,-0.000
0.002,0.003,-0.002
0.003,0.001,-0.002
0.001,-0.001,-0.002
0.000,-0.002,-0.003
-0.001,-0.000,-0.004
-0.000,0.001,-0.003
0.000,0.002,0.000
0.000,0.001,0.002
0.000,-0.000,0.002
-0.002,-0.001,-0.000
-0.002,-0.000,-0.003
-0.002,0.001,-0.004
-0.000,0.002,-0.001
0.000,0.001,0.002
0.000,-0.000,0.004
-0.000,-0.002,0.002
-0.001,-0.002,-0.001
-0.000,-0.002,-0.003
-0.000,-0.000,-0.002
0.000,-0.000,0.001
0.000,-0.000,0.004
0.001,0.000,0.004
0.001,-0.000,0.002
0.000,-0.002,-0.000
0.000,-0.003,-0.002
-0.001,-0.002,-0.004
-0.000,0.000,-0.004
0.000,0.004,-0.003
0.001,0.005,-0.000
0.000,0.002,0.002
-0.002,-0.002,0.002
-0.004,-0.003,0.001
-0.004,0.000,0.000
-0.002,0.005,-0.000
-0.000,0.007,-0.002
0.000,0.002,-0.002
-0.000,-0.003,-0.002
-0.001,-0.006,0.000
-0.002,-0.004,0.003
-0.002,-0.000,0.005
-0.001,0.003,0.005
0.000,0.004,0.002
0.000,0.001,-0.000
0.000,-0.002,-0.005
0.000,-0.004,-0.011
0.000,-0.003,-0.013
0.000,-0.000,-0.009
0.001,0.002,0.001
0.002,0.004,0.011
0.001,0.002,0.013
0.000,-0.002,0.007
-0.000,-0.006,-0.002
0.000,-0.005,-0.007
0.000,-0.000,-0.007
0.002,0.006,-0.004
0.004,0.008,-0.002
0.003,0.004,-0.000
0.001,-0.001,0.002
-0.002,-0.004,0.005
-0.004,-0.003,0.005
-0.005,0.001,0.002
-0.002,0.005,-0.001
0.000,0.005,-0.002
0.002,0.002,-0.000
0.000,-0.002,0.001
-0.003,-0.005,0.001
-0.006,-0.004,-0.001
-0.005,-0.000,-0.004
-0.002,0.002,-0.006
0.001,0.002,-0.005
0.002,-0.000,-0.002
0.000,-0.003,0.002
-0.003,-0.005,0.005
-0.003,-0.004,0.005
-0.000,-0.001,0.002
0.001,0.000,-0.000
0.002,0.001,-0.002
0.001,-0.000,-0.002
0.000,-0.002,-0.003
0.000,-0.004,-0.002
-0.000,-0.003,-0.000
-0.001,0.000,0.003
-0.001,0.004,0.005
0.000,0.007,0.003
0.003,0.006,-0.002
0.004,0.003,-0.007
0.001,0.000,-0.007
-0.000,-0.000,-0.002
-0.002,0.001,0.004
-0.001,0.003,0.010
0.000,0.004,0.010
0.000,0.004,0.004
0.000,0.001,-0.004
-0.000,-0.000,-0.012
-0.001,-0.001,-0.015
-0.001,-0.000,-0.010
0.000,0.001,0.001
0.002,0.001,0.014
0.003,-0.000,0.021
