SITE CODE= 9D2è„ìVëêésëÂñÓñÏí¨          ,32.8632,130.8990, 10,5.9,42476.0735532,  9.43, 16.03
 LAT.=   32.5874
 LON.=  130.4304
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 01 45 50
 NS,EW,UD
0.015,-0.023,-0.011
-0.012,-0.010,-0.021
-0.052,-0.008,-0.032
-0.087,-0.017,-0.036
-0.103,-0.035,-0.021
-0.104,-0.055,0.003
-0.101,-0.071,0.018
-0.103,-0.077,-0.002
-0.120,-0.070,-0.047
-0.141,-0.055,-0.080
-0.156,-0.030,-0.071
-0.153,0.002,-0.032
-0.133,0.040,-0.002
-0.105,0.073,-0.002
-0.089,0.087,-0.014
-0.090,0.077,-0.012
-0.106,0.046,-0.002
-0.121,0.012,-0.006
-0.122,-0.007,-0.029
-0.104,-0.005,-0.039
-0.073,0.014,-0.020
-0.035,0.040,-0.002
0.002,0.062,-0.032
0.033,0.071,-0.103
0.052,0.067,-0.139
0.057,0.055,-0.076
0.053,0.037,0.049
0.046,0.010,0.128
0.042,-0.032,0.091
0.045,-0.087,-0.019
0.057,-0.141,-0.098
0.078,-0.173,-0.083
0.102,-0.169,-0.014
0.116,-0.136,0.034
0.109,-0.091,0.033
0.082,-0.054,0.020
0.046,-0.039,0.037
0.019,-0.047,0.074
0.008,-0.070,0.087
0.007,-0.098,0.039
0.002,-0.116,-0.040
-0.011,-0.116,-0.086
-0.030,-0.098,-0.052
-0.043,-0.066,0.036
-0.041,-0.024,0.098
-0.030,0.017,0.066
-0.023,0.052,-0.043
-0.033,0.070,-0.133
-0.058,0.063,-0.114
-0.078,0.032,0.005
-0.075,-0.008,0.127
-0.040,-0.041,0.158
0.007,-0.052,0.102
0.046,-0.036,0.040
0.062,-0.004,0.037
0.061,0.028,0.068
0.061,0.052,0.064
0.069,0.064,-0.000
0.085,0.075,-0.078
0.100,0.091,-0.098
0.106,0.103,-0.046
0.105,0.096,0.025
0.100,0.060,0.066
0.096,0.003,0.073
0.096,-0.047,0.071
0.100,-0.069,0.068
0.108,-0.059,0.049
0.110,-0.036,0.007
0.097,-0.025,-0.025
0.063,-0.039,-0.014
0.011,-0.072,0.036
-0.045,-0.105,0.074
-0.091,-0.115,0.060
