SITE CODE= EEDìÏà¢ëhë∫íÜèº              ,33.0265,131.1910, 10,5.8,42476.1638079,  3.93,  6.67
 LAT.=   32.8803
 LON.=  131.0736
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 03 54 40
 NS,EW,UD
-0.059,-0.144,-0.002
-0.011,-0.080,0.034
0.054,0.004,0.056
0.109,0.096,0.045
0.125,0.171,0.011
0.097,0.193,-0.007
0.048,0.142,0.009
0.005,0.047,0.043
-0.023,-0.033,0.047
-0.047,-0.061,0.005
-0.070,-0.045,-0.055
-0.077,-0.027,-0.080
-0.053,-0.032,-0.045
0.002,-0.050,0.020
0.062,-0.053,0.059
0.092,-0.036,0.041
0.077,-0.019,-0.015
0.036,-0.022,-0.061
-0.003,-0.037,-0.064
-0.021,-0.039,-0.032
-0.023,-0.009,0.002
-0.023,0.036,0.014
-0.031,0.070,0.006
-0.038,0.068,0.000
-0.032,0.039,0.021
-0.010,-0.001,0.065
0.017,-0.037,0.103
0.030,-0.060,0.097
0.017,-0.065,0.034
-0.020,-0.048,-0.061
-0.066,-0.011,-0.131
-0.095,0.032,-0.125
-0.084,0.066,-0.042
-0.025,0.082,0.060
0.061,0.083,0.109
0.134,0.077,0.073
0.155,0.065,-0.012
0.114,0.037,-0.074
0.036,-0.013,-0.070
-0.039,-0.080,-0.018
-0.086,-0.141,0.025
-0.109,-0.165,0.029
-0.113,-0.137,0.008
-0.097,-0.062,-0.003
-0.051,0.037,0.006
0.016,0.125,0.018
0.075,0.171,0.005
0.095,0.162,-0.026
0.073,0.110,-0.046
0.037,0.044,-0.029
0.013,-0.009,0.018
0.007,-0.045,0.064
0.004,-0.069,0.075
-0.005,-0.087,0.042
-0.021,-0.092,-0.011
-0.036,-0.077,-0.055
-0.047,-0.046,-0.064
-0.053,-0.014,-0.039
-0.048,0.004,0.000
-0.020,0.008,0.029
0.031,0.009,0.034
0.092,0.011,0.022
0.137,0.015,0.013
0.143,0.018,0.016
0.102,0.021,0.021
0.021,0.031,0.009
-0.072,0.038,-0.021
-0.141,0.027,-0.054
-0.159,-0.011,-0.059
-0.127,-0.058,-0.025
-0.076,-0.082,0.029
-0.036,-0.064,0.071
-0.014,-0.011,0.075
0.004,0.042,0.043
0.040,0.076,-0.005
0.089,0.088,-0.051
0.128,0.090,-0.087
0.131,0.087,-0.106
0.094,0.068,-0.095
0.034,0.022,-0.043
-0.022,-0.039,0.038
-0.060,-0.090,0.117
-0.074,-0.103,0.148
-0.074,-0.077,0.111
-0.070,-0.034,0.026
-0.063,-0.000,-0.061
-0.046,0.016,-0.109
-0.012,0.025,-0.100
0.031,0.035,-0.048
0.074,0.041,0.018
0.096,0.031,0.074
0.085,0.007,0.093
0.045,-0.014,0.066
-0.004,-0.015,0.005
-0.045,0.001,-0.056
-0.060,0.008,-0.082
-0.052,-0.020,-0.062
-0.035,-0.074,-0.020
-0.020,-0.109,0.005
-0.006,-0.086,0.004
0.016,-0.013,-0.002
0.046,0.057,0.017
0.061,0.084,0.061
0.041,0.065,0.094
-0.008,0.039,0.078
-0.054,0.035,0.020
-0.060,0.040,-0.039
-0.023,0.019,-0.066
0.027,-0.032,-0.057
0.052,-0.084,-0.037
0.043,-0.092,-0.025
0.011,-0.052,-0.016
-0.025,0.000,-0.000
-0.055,0.019,0.013
-0.075,0.006,0.012
-0.071,-0.011,-0.007
-0.031,-0.006,-0.024
0.040,0.014,-0.013
0.114,0.027,0.021
0.152,0.019,0.049
0.131,0.010,0.040
0.059,0.025,0.000
-0.031,0.062,-0.037
-0.108,0.086,-0.038
-0.152,0.062,-0.004
-0.164,-0.009,0.034
-0.148,-0.089,0.047
-0.109,-0.129,0.027
-0.044,-0.108,-0.008
0.039,-0.041,-0.040
0.119,0.035,-0.058
0.168,0.098,-0.056
0.166,0.141,-0.030
0.120,0.166,0.017
0.055,0.165,0.075
-0.003,0.121,0.112
-0.042,0.030,0.103
-0.058,-0.090,0.043
-0.054,-0.197,-0.047
-0.037,-0.250,-0.130
-0.016,-0.235,-0.165
-0.004,-0.167,-0.129
-0.003,-0.078,-0.035
-0.007,0.007,0.073
-0.007,0.079,0.144
